row,key,label,user,error_type,visual_top1,visual_true_rank,temporal_top1,temporal_true_rank,fused_top1,visual_valid,skeleton_valid,ever_corrected,corrected_by
874,21_Read_documents/user5/3-1-2,21,5,no_primary_input,35,23,36,22,36,False,False,False,
875,21_Read_documents/user5/3-1-3,21,5,no_primary_input,35,23,36,22,36,False,False,False,
876,21_Read_documents/user5/4-3-1,21,5,no_primary_input,35,23,36,22,36,False,False,False,
877,21_Read_documents/user5/4-3-2,21,5,no_primary_input,35,23,36,22,36,False,False,False,
878,21_Read_documents/user5/4-3-3,21,5,no_primary_input,35,23,36,22,36,False,False,False,
893,21_Read_documents/user8/4-1-3,21,8,visual_top1_only,21,1,22,2,22,True,True,False,
909,22_Turn_pages/user18/1-2-1,22,18,temporal_top1_only,23,22,22,1,23,True,True,False,
910,22_Turn_pages/user18/1-2-2,22,18,both_top1_wrong,17,25,23,2,23,True,True,False,
911,22_Turn_pages/user18/1-2-3,22,18,temporal_top1_only,23,26,22,1,23,True,True,False,
912,22_Turn_pages/user18/4-1-1,22,18,both_top1_wrong,17,3,21,2,21,True,True,False,
914,22_Turn_pages/user18/4-1-3,22,18,both_top1_wrong,21,2,21,2,21,True,True,False,
930,22_Turn_pages/user24/1-2-2,22,24,visual_top1_only,22,1,21,2,21,True,True,True,temporal_masked_only;both_masked
932,22_Turn_pages/user24/7-2-1,22,24,visual_top1_only,22,1,21,2,21,True,True,False,
933,22_Turn_pages/user24/7-2-2,22,24,visual_top1_only,22,1,21,2,21,True,True,True,temporal_masked_only;both_masked;cross_user_contrast;prelogit_feature_tcn
936,22_Turn_pages/user3/4-1-2,22,3,visual_top1_only,22,1,21,2,21,True,True,False,
938,22_Turn_pages/user3/5-2-1,22,3,visual_top1_only,22,1,21,2,21,True,True,False,
939,22_Turn_pages/user3/5-2-2,22,3,visual_top1_only,22,1,21,2,21,True,True,False,
999,23_Listen_to_music_with_headphones/user23/4-2-1,23,23,visual_top1_only,23,1,27,2,27,True,True,False,
1000,23_Listen_to_music_with_headphones/user23/4-2-2,23,23,visual_top1_only,23,1,27,2,27,True,True,False,
1001,23_Listen_to_music_with_headphones/user23/4-2-3,23,23,visual_top1_only,23,1,27,2,27,True,True,False,
1010,23_Listen_to_music_with_headphones/user3/1-2-1,23,3,visual_top1_only,23,1,36,2,36,True,True,False,
1011,23_Listen_to_music_with_headphones/user3/1-2-2,23,3,visual_top1_only,23,1,36,2,36,True,True,False,
1015,23_Listen_to_music_with_headphones/user4/6-1-1,23,4,no_primary_input,36,17,36,7,36,False,False,False,
1016,23_Listen_to_music_with_headphones/user4/6-1-2,23,4,no_primary_input,36,17,36,7,36,False,False,False,
1017,23_Listen_to_music_with_headphones/user4/6-1-3,23,4,no_primary_input,36,17,36,7,36,False,False,False,
1023,23_Listen_to_music_with_headphones/user7/6-2-3,23,7,visual_top1_only,23,1,31,4,31,True,True,False,
1040,24_Use_a_mobile_phone/user17/1-2-3,24,17,both_top1_wrong,27,2,27,2,27,True,True,False,
1079,24_Use_a_mobile_phone/user6/6-2-1,24,6,visual_top1_only,24,1,20,2,20,True,True,False,
1080,24_Use_a_mobile_phone/user6/6-2-2,24,6,visual_top1_only,24,1,20,3,20,True,True,False,
1081,24_Use_a_mobile_phone/user6/6-2-3,24,6,visual_top1_only,24,1,20,2,20,True,True,False,
1329,2_Comb_hair/user3/1-2-2,2,3,no_primary_input,35,33,36,24,36,False,False,False,
1344,2_Comb_hair/user8/7-2-2,2,8,no_primary_input,35,33,36,24,36,False,False,False,
1345,2_Comb_hair/user8/7-2-3,2,8,no_primary_input,35,33,36,24,36,False,False,False,
1458,31_Do_stretching_exercises/user5/5-2-1,31,5,no_primary_input,35,3,36,10,36,False,False,False,
1459,31_Do_stretching_exercises/user5/5-2-2,31,5,no_primary_input,35,3,36,10,36,False,False,False,
1460,31_Do_stretching_exercises/user5/5-2-3,31,5,no_primary_input,35,3,36,10,36,False,False,False,
1461,31_Do_stretching_exercises/user7/2-2-1,31,7,visual_top1_only,31,1,30,2,30,True,True,False,
1463,31_Do_stretching_exercises/user7/2-2-3,31,7,visual_top1_only,31,1,30,2,30,True,True,False,
1501,32_Stand_up/user18/5-1-3,32,18,no_primary_input,35,2,36,2,36,False,False,False,
1536,32_Stand_up/user24/5-1-3,32,24,visual_top1_only,32,1,29,2,29,True,True,True,prelogit_feature_tcn
1555,32_Stand_up/user5/3-1-1,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1556,32_Stand_up/user5/3-1-2,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1557,32_Stand_up/user5/3-1-3,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1558,32_Stand_up/user5/6-1-1,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1559,32_Stand_up/user5/6-1-2,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1560,32_Stand_up/user5/6-1-3,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1561,32_Stand_up/user5/7-1-1,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1562,32_Stand_up/user5/7-1-2,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1563,32_Stand_up/user5/7-1-3,32,5,no_primary_input,35,2,36,2,36,False,False,False,
1593,33_Lie_down/user5/5-2-1,33,5,no_primary_input,35,9,36,4,36,False,False,False,
1594,33_Lie_down/user5/5-2-2,33,5,no_primary_input,35,9,36,4,36,False,False,False,
1595,33_Lie_down/user5/5-2-3,33,5,no_primary_input,35,9,36,4,36,False,False,False,
1596,33_Lie_down/user5/6-1-1,33,5,no_primary_input,35,9,36,4,36,False,False,False,
1597,33_Lie_down/user5/6-1-2,33,5,no_primary_input,35,9,36,4,36,False,False,False,
1598,33_Lie_down/user5/6-1-3,33,5,no_primary_input,35,9,36,4,36,False,False,False,
1719,34_Sit_down/user6/5-1-2,34,6,both_top1_wrong,24,2,24,2,24,True,True,False,
1720,34_Sit_down/user6/5-3-1,34,6,visual_top1_only,34,1,33,2,33,True,True,False,
1721,34_Sit_down/user6/5-3-2,34,6,visual_top1_only,34,1,33,2,33,True,True,False,
1722,34_Sit_down/user6/5-3-3,34,6,visual_top1_only,34,1,33,2,33,True,True,False,
1776,35_Do_lunges/user23/5-3-1,35,23,no_primary_input,35,1,36,25,36,False,False,False,
1814,36_Walk/user16/3-3-1,36,16,temporal_top1_only,9,36,36,1,15,True,True,False,
1815,36_Walk/user16/3-3-2,36,16,temporal_top1_only,9,34,36,1,15,True,True,False,
1816,36_Walk/user16/3-3-3,36,16,both_top1_wrong,17,36,15,2,15,True,True,False,
1967,36_Walk/user23/2-2-3,36,23,visual_top1_only,36,1,2,2,2,True,True,False,
1977,36_Walk/user23/5-3-1,36,23,visual_top1_only,36,1,26,4,26,True,True,False,
2160,37_Take_medicine/user18/7-1-2,37,18,both_top1_wrong,38,13,2,2,2,True,True,False,
2184,37_Take_medicine/user23/7-1-2,37,23,visual_top1_only,37,1,36,24,36,True,False,False,
2185,37_Take_medicine/user23/7-1-3,37,23,visual_top1_only,37,1,18,2,18,True,True,False,
2204,37_Take_medicine/user5/7-1-1,37,5,no_primary_input,35,35,36,24,36,False,False,False,
2205,37_Take_medicine/user5/7-1-2,37,5,no_primary_input,35,35,36,24,36,False,False,False,
2206,37_Take_medicine/user5/7-1-3,37,5,no_primary_input,35,35,36,24,36,False,False,False,
2284,38_Massage_oneself/user4/6-1-1,38,4,no_primary_input,36,34,36,18,36,False,False,False,
2285,38_Massage_oneself/user4/6-1-2,38,4,no_primary_input,36,34,36,18,36,False,False,False,
2286,38_Massage_oneself/user4/6-1-3,38,4,no_primary_input,36,34,36,18,36,False,False,False,
2287,38_Massage_oneself/user4/7-2-1,38,4,no_primary_input,36,34,36,18,36,False,False,False,
2288,38_Massage_oneself/user4/7-2-2,38,4,no_primary_input,36,34,36,18,36,False,False,False,
2289,38_Massage_oneself/user4/7-2-3,38,4,no_primary_input,36,34,36,18,36,False,False,False,
2293,38_Massage_oneself/user9/5-3-1,38,9,no_primary_input,36,34,36,18,36,False,False,False,
2294,38_Massage_oneself/user9/5-3-2,38,9,no_primary_input,36,34,36,18,36,False,False,False,
2295,38_Massage_oneself/user9/5-3-3,38,9,no_primary_input,36,34,36,18,36,False,False,False,
2296,38_Massage_oneself/user9/7-1-1,38,9,no_primary_input,36,34,36,18,36,False,False,False,
2297,38_Massage_oneself/user9/7-1-2,38,9,no_primary_input,36,34,36,18,36,False,False,False,
2298,38_Massage_oneself/user9/7-1-3,38,9,no_primary_input,36,34,36,18,36,False,False,False,
2338,39_Take_body_temperature/user3/2-2-1,39,3,no_primary_input,35,18,36,23,36,False,False,False,
2345,39_Take_body_temperature/user7/4-1-2,39,7,no_primary_input,35,38,36,23,36,False,False,False,
2398,4_Wipe_hands/user1/1-1-2,4,1,no_primary_input,35,26,36,12,36,False,False,False,
2399,4_Wipe_hands/user1/1-1-3,4,1,no_primary_input,35,26,36,12,36,False,False,False,
2418,4_Wipe_hands/user19/5-1-2,4,19,no_primary_input,35,28,36,12,36,False,False,False,
2419,4_Wipe_hands/user19/5-1-3,4,19,no_primary_input,35,28,36,12,36,False,False,False,
2436,4_Wipe_hands/user22/1-1-1,4,22,no_primary_input,35,26,36,12,36,False,False,False,
2569,6_Drink_water/user20/2-1-3,6,20,visual_top1_only,6,1,7,2,7,True,True,False,
2588,6_Drink_water/user23/5-3-1,6,23,no_primary_input,35,26,36,35,36,False,False,False,
2589,6_Drink_water/user23/5-3-2,6,23,no_primary_input,35,26,36,35,36,False,False,False,
2706,7_Eat_food/user2/4-2-3,7,2,visual_top1_only,7,1,8,2,8,True,True,False,
2724,7_Eat_food/user22/3-1-3,7,22,visual_top1_only,7,1,36,30,36,True,False,False,
2734,7_Eat_food/user23/2-3-1,7,23,visual_top1_only,7,1,10,2,10,True,True,False,
2735,7_Eat_food/user23/2-3-2,7,23,visual_top1_only,7,1,10,2,10,True,True,False,
2736,7_Eat_food/user23/2-3-3,7,23,visual_top1_only,7,1,10,2,10,True,True,False,
2819,8_Take_and_use_tableware/user17/1-2-1,8,17,visual_top1_only,8,1,7,2,7,True,True,False,
2820,8_Take_and_use_tableware/user17/1-2-2,8,17,visual_top1_only,8,1,7,2,7,True,True,False,
2821,8_Take_and_use_tableware/user17/1-2-3,8,17,visual_top1_only,8,1,7,2,7,True,True,False,
2825,8_Take_and_use_tableware/user17/3-2-1,8,17,both_top1_wrong,14,2,14,2,14,True,True,False,
2826,8_Take_and_use_tableware/user17/3-2-2,8,17,both_top1_wrong,14,2,14,2,14,True,True,False,
2827,8_Take_and_use_tableware/user17/3-2-3,8,17,both_top1_wrong,14,2,14,2,14,True,True,False,
2874,8_Take_and_use_tableware/user4/2-1-2,8,4,visual_top1_only,8,1,32,2,32,True,True,False,
2875,8_Take_and_use_tableware/user4/2-1-3,8,4,visual_top1_only,8,1,32,2,32,True,True,False,
2876,8_Take_and_use_tableware/user6/1-2-1,8,6,visual_top1_only,8,1,10,2,10,True,True,False,
2878,8_Take_and_use_tableware/user6/1-2-3,8,6,visual_top1_only,8,1,10,2,10,True,True,True,temporal_masked_only;both_masked;cross_user_contrast
2879,8_Take_and_use_tableware/user6/2-1-1,8,6,visual_top1_only,8,1,10,2,10,True,True,False,
2880,8_Take_and_use_tableware/user6/2-1-2,8,6,visual_top1_only,8,1,10,2,10,True,True,True,temporal_masked_only;both_masked;cross_user_contrast
2881,8_Take_and_use_tableware/user6/2-1-3,8,6,visual_top1_only,8,1,10,2,10,True,True,False,
2888,8_Take_and_use_tableware/user6/7-2-1,8,6,visual_top1_only,8,1,10,2,10,True,True,False,
2889,8_Take_and_use_tableware/user6/7-2-2,8,6,visual_top1_only,8,1,10,2,10,True,True,False,
2890,8_Take_and_use_tableware/user6/7-2-3,8,6,visual_top1_only,8,1,10,2,10,True,True,False,
2949,9_Pour_drinks/user2/6-1-2,9,2,no_primary_input,35,10,36,21,36,False,False,False,
2974,9_Pour_drinks/user23/5-3-1,9,23,no_primary_input,35,10,36,21,36,False,False,False,
